id_track,name_track,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode,id_artist,publish_time,viewCount,likeCount,commentCount,followers,genres,name,popularity
5Sc9QC3CS6WB91bpwhYMll,I’m Back,3427900,0.33084,150.05315,-8.774,140.109,4,6,1,37lTKHi901VnwngQ7C8noT,31-03-2022,148432,427,32,7412,[],Malachiii,75
2vte8DHnyYE1ZHTlRC7VwU,Love Me,3996981,0.34195,175.53125,-7.652,117.981,4,3,1,37lTKHi901VnwngQ7C8noT,15-10-2024,12133,62,0,7412,[],Malachiii,75
5C1O3fpMsiisJpHiB1uuDf,ĐỢI (Prod. RIO),4343850,4.23764,192.53986,-9.134,77.767,4,2,1,4dH6uW4FU977FDuTcCHGUf,15-12-2023,15870691,97490,1709,1789,['viet chill rap'],RIO,47
33S16Xa5cZmLPhn6eZI4Nm,ĐỢI (SPECIAL VERSION) [ft. WEAN],4394099,4.23764,192.55147,-8.795,77.811,4,2,1,4dH6uW4FU977FDuTcCHGUf,31-01-2024,6089297,38170,535,1789,['viet chill rap'],RIO,47
7cOiS3qOoOZ9sGpzBXEqWg,now she don't (ft. WEAN),3088563,0.0,135.06467,-5.993,79.993,4,1,1,1y28JlO6rDMUB5rkcA4RAh,02-10-2023,731965,11370,283,83996,['viet chill rap'],52Hz,49
57NB3UNDK1VPTRH0N1pqe7,Mê Cung Tình Yêu (prod. RIO),4830955,0.0,215.4986,-6.177,132.041,4,5,1,1y28JlO6rDMUB5rkcA4RAh,06-02-2024,1283075,18289,401,83996,['viet chill rap'],52Hz,49
6oJcqJegzeKgU3jh1EDGjC,DO4LOVE,3035899,0.0,133.358,-6.191,136.941,4,6,0,1y28JlO6rDMUB5rkcA4RAh,10-06-2023,195549,3172,98,83996,['viet chill rap'],52Hz,49
2Cp6lhkhK09zmpKcLUOC6c,Tan (feat. RIO),3457440,0.0,156.8,-12.978,99.781,5,6,0,4dH6uW4FU977FDuTcCHGUf,08-12-2022,295380,4708,156,1789,['viet chill rap'],RIO,47
6gB9sxuQVGqzbJ9mj40ERK,Anh Thì Nah,3814619,0.0,169.55211,-10.182,91.459,4,4,0,1y28JlO6rDMUB5rkcA4RAh,08-05-2023,139742,2613,107,83996,['viet chill rap'],52Hz,49
5WxzYgo2JB42vkXZHrhe1W,Suốt Đêm,3763200,2.80961,164.33342,-8.561,179.807,4,9,1,4dH6uW4FU977FDuTcCHGUf,25-09-2024,389794,3640,115,1789,['viet chill rap'],RIO,47
5UnMaRMQ16aurKrsH307Qi,TIME,4719237,0.0,206.68661,-5.364,81.977,4,5,0,5U1dINFKjJlYNOSdMrHlRh,03-01-2020,21623757,144633,4211,277599,"['v-pop', 'vietnamese hip hop']",16 Typh,42
6KIbensnme8n5VkCMFJB6O,CUC HINH,3688363,0.0,160.26993,-9.28,131.781,4,9,0,1y28JlO6rDMUB5rkcA4RAh,22-04-2023,83254,1871,84,83996,['viet chill rap'],52Hz,49
5nyZmmFT3guVqrRxSkt12C,PSYCHO FUNK,2666672,0.0,112.4078,-3.287,129.979,4,8,0,4hV3aU0WKvFaiX5ugXP5hp,26-09-2024,7770,28,13,91810,"['funk mtg', 'phonk brasileiro']",MC MN,68
4k5JXi9LFYoYXSraIXiLCw,MURDER FUNK,2230512,0.0,94.81288,-4.54,121.042,4,1,1,5MUljcWL3VylwkBxs9xw0p,21-07-2023,4904948,60452,1380,21286,['phonk brasileiro'],ICHIRO,54
4XD2nxryVD0P8FeeEsqgGw,TOKSIN,3933805,0.0,174.97397,-9.787,140.014,4,1,1,5MUljcWL3VylwkBxs9xw0p,15-08-2024,476442,11138,0,21286,['phonk brasileiro'],ICHIRO,54
2HxRT1mPgjuoFDuqsR3aj4,SCARE ME,3338455,0.0,151.40385,-0.999,114.377,4,2,1,5MUljcWL3VylwkBxs9xw0p,14-12-2023,752452,10280,0,21286,['phonk brasileiro'],ICHIRO,54
0K4txSRIitQ4Yp6JxAPui7,PSYCHO FUNK - Sped Up,2198639,0.0,92.7405,-2.375,157.636,4,4,0,3HIvqQ3TKSSqa5yef0Q3xR,23-06-2023,2605839,31110,0,3301,[],MC 99,48
61oL0lzGD0CkQ0o4S2ZqFc,DEUS DA MORTE,2601900,2.38585,118.0,-0.003,129.894,4,2,1,5MUljcWL3VylwkBxs9xw0p,14-09-2023,76353,1351,0,21286,['phonk brasileiro'],ICHIRO,54
53P3tB8XGd3Zuz2i4YhhiC,PIANO ESTELAR 1.0,2209452,0.0,94.93478,-5.041,129.953,4,5,0,5MUljcWL3VylwkBxs9xw0p,20-10-2023,75680,1331,25,21286,['phonk brasileiro'],ICHIRO,54
