id_track,name_track,duration_ms,explicit,name,id_artist,release_date,popularity,followers,streams,num_samples,end_of_fade_in,start_of_fade_out,loudness,tempo,time_signature,key,mode
2DhX6wct6tY8lbZpq5KgXp,手機錢包鑰匙菸 (Ft. 盧廣仲),200552,False,Amazing Show,3n16EAnJtz6SZGx2zJssrI,2024-08-14,57,185596,1254626,4422190,3.28562,185.77705,-6.216,131.974,4,11,1
2RsJqOLTyk2iGpchwb8xIQ,我快樂嗎,225410,False,Vicky Chen,01u3qI3xMGFvktXyRSMGRZ,2024-07-29,54,173363,734185,4970311,0.20195,217.67546,-6.103,145.962,4,6,1
7hvs8UV83TpZV0Jiu84OsT,不小心 - 電影《夏日的檸檬草》主題曲,252605,False,婁峻碩,40sntfyZsRwGfDgSJnxYuX,2024-07-30,49,134848,630839,5569948,0.79034,248.58122,-7.419,87.735,4,8,1
18TOtGEE15qjoaYvB7SB6f,慣老闆 (feat. 瘦子E.SO),292318,False,J.Sheon,4DEItwf281SHmTnS8q3Mn9,2024-06-20,50,180184,628521,6445618,0.58848,281.93668,-5.038,128.03,4,4,0
4pKP9CQMrspu58JW0SUrSS,善良的我們,235764,False,Tanya Chua,376pcuw4IgWBMOUwCr8kIm,2024-04-12,60,575526,992513,5198606,0.0,222.0292,-9.329,137.915,4,6,1
4f62bZPnqVJycmFJQVsAA9,一起寂寞 Lonely Duet,221052,False,Feng Ze,6QYehwA9q6UQEMs1Vak0uy,2024-03-20,49,57606,748059,4874210,0.38912,215.55084,-5.044,152.04,4,10,1
1OvQbBToQ5gMPs7bwqUbbz,芬蘭距離,349541,False,Tanya Chua,376pcuw4IgWBMOUwCr8kIm,2024-04-12,60,575526,484928,7707394,0.09864,335.10458,-9.94,80.058,4,0,1
0v28VNzha19ITL8uHiE6zD,Goodbye,284100,False,TRASH,3KZMUYrA5eIfgZdIFRmNe4,2024-08-13,52,109078,457399,6264405,0.38231,278.6917,-5.434,149.957,4,0,1
00jPopb33woapLbXAe4e1t,我愛你對不起 謝謝你沒關係,305526,False,WeiBird,7y3HnWCFEvWj4KM9GFSkiX,2024-02-06,57,441906,435237,6736855,0.0,291.78195,-7.167,152.0,4,2,1
1lYLNUL6ZIqVFepQ2LBip8,年少的我們永遠輕狂,271965,False,Crispy脆樂團,5AO5nzx14PfLNfVgYVd0rw,2024-04-12,46,54367,424453,5996849,2.42068,260.24344,-7.257,162.143,4,1,1
